helper,month,date,admission_type,EAST OF ENGLAND COMMISSIONING REGION,LONDON COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,NATIONAL,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,SOUTH WEST COMMISSIONING REGION
41,,08/01/2021,sas_ordinary_elective,0.027144888,0.032430344,0.043125457,0.238378207,0.038861212,0.031602335,0.040117025,0.024798863
42,,09/01/2021,sas_ordinary_elective,0.02928391,0.034348564,0.043718863,0.250585816,0.04148324,0.033120351,0.042711453,0.025530271
43,,10/01/2021,sas_ordinary_elective,0.02920111,0.035742379,0.045167879,0.256450878,0.042090446,0.035355975,0.042877054,0.025668272
44,,11/01/2021,sas_ordinary_elective,0.029891117,0.036073582,0.047113699,0.264835847,0.04244925,0.040268827,0.042228448,0.026468681
45,,12/01/2021,sas_ordinary_elective,0.026468681,0.03114693,0.041303838,0.230818487,0.037881402,0.032927149,0.037053393,0.023819052
46,,01/01/2022,sas_ordinary_elective,0.023032444,0.028856106,0.037246595,0.206372908,0.034845369,0.027696894,0.03300995,0.021473028
47,,02/01/2022,sas_ordinary_elective,0.026289279,0.033078951,0.043125457,0.234646647,0.038157404,0.032830548,0.036708389,0.024191656
48,,04/01/2018,sas_daycase_elective,0,0.036811052,0,0.274758034,0,0,0.039058259,0.02825602
49,,05/01/2018,sas_daycase_elective,0,0.040037264,0,0.294948762,0,0,0.041630221,0.030351517
50,,06/01/2018,sas_daycase_elective,0,0.03911278,0,0.288099996,0,0,0.041189313,0.029438886
51,,07/01/2018,sas_daycase_elective,0,0.039726732,0,0.294365626,0,0,0.042014237,0.029920091
52,,08/01/2018,sas_daycase_elective,0,0.037801909,0,0.285374902,0,0,0.040196085,0.029412811
53,,09/01/2018,sas_daycase_elective,0,0.03660008,0,0.272632669,0,0,0.038543867,0.027819854
54,,10/01/2018,sas_daycase_elective,0,0.042225209,0,0.313774099,0,0,0.043875057,0.032238413
55,,11/01/2018,sas_daycase_elective,0,0.041570959,0,0.307599021,0,0,0.043028799,0.031185923
56,,12/01/2018,sas_daycase_elective,0,0.03408501,0,0.254406114,0,0,0.03514224,0.026079928
57,,01/01/2019,sas_daycase_elective,0,0.04167763,0,0.308972472,0,0,0.043685419,0.032060627
58,,02/01/2019,sas_daycase_elective,0,0.038638686,0,0.280947335,0,0,0.039368791,0.028566552
59,,03/01/2019,sas_daycase_elective,0,0.041021009,0,0.299622384,0,0,0.04233188,0.030953617
60,,04/01/2019,sas_daycase_elective,0.033139192,0.037294628,0.056177804,0.28499373,0.049293955,0.039586874,0.039679323,0.029448368
61,,05/01/2019,sas_daycase_elective,0.034601773,0.039719621,0.059136153,0.300765425,0.051204555,0.042369808,0.042338992,0.031001026
62,,06/01/2019,sas_daycase_elective,0.032913997,0.037901469,0.055696599,0.286022041,0.048518811,0.040399946,0.040554027,0.029656969
63,,07/01/2019,sas_daycase_elective,0.036592969,0.041848304,0.061942791,0.317748905,0.053989859,0.045088739,0.044882508,0.033001704
