financial_year,reporting_period,month,date,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA,total_admissions
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19375,94670,114045,90945,176180,174450,350630,20990,588060,39945,19710,94755,114465,105615,217360,255700,473060,28745,936435,60015,3975150
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,24535,130655,155190,121235,205515,181630,387140,27515,704945,50800,25260,130840,156100,144555,277955,276120,554075,38805,1088220,76995,4758085
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14540,77185,91725,69095,123705,108120,231825,16360,422845,32160,14950,77270,92220,84250,143725,157520,301245,20785,652460,44575,2776560
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,15565,95105,110670,90620,141175,126110,267285,24785,611370,51345,15820,95175,110995,108385,171115,177365,348475,33425,843780,72245,3510810
2019-20,14,Jul-19,01/07/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,19260,113880,133140,98575,165450,162400,327850,22620,637080,51390,19595,114010,133605,118735,187885,199920,387805,27735,841295,67335,3829565
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18205,78665,96870,78555,163500,184915,348420,40245,611880,69785,19080,79085,98165,103445,192040,239925,431970,49390,853635,95810,3853585
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12285,63100,75385,58240,74090,77030,151120,9745,293725,18750,12570,63125,75695,68475,97205,122170,219375,15300,452970,30335,1990690
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17810,84905,102715,86440,152185,153340,305525,17960,510425,33560,18145,84965,103110,101050,187945,225395,413340,24615,815600,50800,3489830
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22765,117640,140405,114955,175450,157185,332640,23890,609120,44365,23370,117790,141155,138540,238940,239575,478515,33840,950530,67675,4168345
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13375,69885,83260,65565,105435,94285,199715,14035,367795,28125,13750,69960,83710,79795,122555,137225,259780,17970,572185,39430,2437835
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14390,83975,98365,85320,118940,105445,224390,20710,526175,43210,14615,84010,98625,103145,145170,150430,295600,27820,733520,61065,3034920
2019-20,14,Aug-19,01/08/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,17860,103190,121050,93345,141045,140590,281635,19490,552100,44870,18275,103285,121560,113350,160975,175545,336520,23910,743755,62510,3374860
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18350,81585,99935,78050,174170,204390,378560,42065,662950,75485,19115,82000,101115,102605,202630,263680,466310,51100,909790,101640,4115525
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12070,63860,75935,58470,81230,83370,164600,10730,316620,20925,12365,63895,76255,68760,106000,130960,236960,16445,477600,32510,2109560
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17550,87785,105335,85530,164765,162670,327435,19835,546155,37045,17835,87840,105680,100015,202335,236780,439115,26775,862310,55285,3688075
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22400,119890,142290,114290,189860,168565,358425,25670,656925,47565,23050,120120,143170,137060,257570,254860,512425,36190,1008835,71425,4410585
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13255,70840,84095,65400,113660,101275,214935,15350,392075,31210,13635,70915,84545,79360,131420,144645,276065,19200,599825,42530,2564235
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14565,86810,101370,86500,130975,115335,246310,23255,570620,49610,14820,86855,101675,103650,158425,162280,320705,30970,785580,68615,3258925
2019-20,14,Sep-19,01/09/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,17830,105820,123645,92790,153065,149430,302495,21045,595765,48595,18255,105975,124230,112380,174605,186985,361590,25750,793385,66360,3579995
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,20020,89815,109835,82950,192185,222140,414330,44615,726865,80410,20875,90320,111195,109180,223570,288490,512065,54645,998295,109275,4501075
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13610,70325,83930,62955,88835,88555,177385,11375,347410,22210,13950,70370,84320,73580,116945,144030,260980,17765,530330,35080,2313940
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19680,95895,115570,93010,182685,176395,359075,21075,603030,39375,20050,95960,116010,108075,224785,257335,482120,28725,954540,59100,4052490
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,24715,130180,154895,122865,208850,181495,390350,27255,719130,52500,25360,130360,155720,145795,282675,276350,559025,38340,1108480,78420,4812760
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14510,77845,92355,70580,125200,109855,235050,16610,432810,32750,14885,77915,92800,85180,144475,159280,303750,20825,664795,45045,2816515
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,16140,96740,112880,92820,144745,123990,268735,25450,625305,53010,16405,96785,113185,110530,175815,175605,351420,33535,863355,73515,3569965
2019-20,14,Oct-19,01/10/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,20010,116130,136140,100040,169990,162365,332355,21985,653715,52565,20440,116195,136635,119365,193070,202865,395935,26895,870660,72100,3919455
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,19045,84670,103715,81900,180415,210745,391160,41060,683430,72740,19905,85085,104990,106870,208390,274610,483000,50530,936010,99210,4237480
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13045,68025,81070,61445,83425,81680,165105,10075,329025,20375,13370,68045,81415,71235,109105,132025,241125,15940,501475,32600,2179605
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19215,92145,111365,90525,172420,166525,338945,20075,571680,36945,19540,92200,111740,104680,212115,242585,454705,27100,898130,55355,3837990
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,23475,124960,148440,120250,196165,169710,365875,25730,675210,49125,24085,125155,149240,141985,263710,258840,522550,36355,1039445,73595,4533900
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13775,74765,88545,68685,118660,102450,221110,15495,407635,30575,14080,74820,88905,82440,137075,148465,285540,19510,627705,41595,2661830
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,15395,90290,105685,89220,132965,115495,248465,23240,581485,48670,15640,90340,105985,105770,161425,163275,324700,30610,801595,67380,3317630
2019-20,14,Nov-19,01/11/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,18815,109340,128150,97685,157035,150315,307350,20435,603375,48110,19150,109480,128635,116370,178155,187405,365560,25040,802105,66325,3638835
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16475,72655,89130,81590,156595,185280,341875,38040,588210,67405,17330,73050,90380,106930,180145,243445,423590,46675,815080,92110,3725990
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,10885,59400,70285,63700,72455,72275,144730,9415,289010,18815,11175,59420,70590,73230,93885,114545,208430,14725,436850,29985,1923805
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,16110,80025,96135,92425,147935,147660,295590,18080,493405,33415,16405,80070,96480,106680,180600,214205,394805,24380,777525,50350,3362280
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,20485,111215,131700,120005,170390,151380,321770,24165,589500,44980,20970,111355,132325,141705,230715,231085,461800,33800,909765,67135,4026245
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,11755,65995,77745,69065,101590,91085,192675,14440,347755,27935,12050,66045,78095,82455,117760,131640,249400,17875,544790,38235,2338385
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,12915,78360,91275,88210,115220,100410,215635,21700,503300,45730,13165,78400,91560,104775,139700,141325,281025,28525,695790,63235,2910255
2019-20,14,Dec-19,01/12/2019,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,16135,97080,113215,99310,137270,135175,272445,19665,529505,45430,16480,97185,113665,117700,155285,169230,324515,24150,706430,62420,3252290
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18025,87300,105325,82525,172810,223440,396250,42150,711685,78060,18895,87810,106700,107025,200375,291605,491980,51915,978940,105365,4358180
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,11870,69250,81120,63695,83725,86120,169845,10840,344265,21805,12175,69265,81440,73835,110165,139165,249330,16855,523905,34670,2253340
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17735,94410,112145,92800,173070,173405,346475,20380,601920,39435,18055,94470,112525,107345,212525,253650,466175,27745,942915,58730,3965910
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21695,128180,149875,120765,200900,175590,376490,26155,710220,51210,22145,128415,150555,142860,273605,271220,544825,37210,1090430,76385,4698730
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,12860,77155,90015,69230,117915,107195,225110,15815,424820,30975,13185,77215,90400,83000,136845,155895,292735,19830,656925,42725,2739845
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14160,94200,108355,87975,133795,122085,255880,24060,615720,52165,14415,94265,108675,105075,162735,171055,333785,31820,845460,71050,3446730
2019-20,14,Jan-20,01/01/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,17490,114370,131860,99385,157875,157120,314995,21580,642585,51685,17830,114460,132290,118570,180355,197770,378125,26380,854475,71120,3800320
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16300,82865,99165,75495,166215,199820,366035,37055,635370,69270,17210,83300,100510,98685,192230,262645,454875,45780,872840,93250,3968915
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12105,62935,75045,57685,76145,77340,153485,9120,307390,18190,12410,62960,75370,67195,99005,124600,223605,14160,466565,28930,2024240
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,18175,87645,105825,84685,160305,157300,317605,17660,529075,33860,18495,87705,106200,97965,195835,228140,423970,23900,829780,50470,3574595
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21835,118810,140645,110360,184245,159035,343275,22810,629940,44335,22295,119040,141335,130735,248440,244925,493365,32215,978550,65500,4251690
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,12600,71405,84005,62980,110940,97365,208310,13585,378175,26950,12960,71465,84425,75690,128660,140645,269305,16980,583925,36940,2487310
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,14710,86535,101245,80410,124740,108875,233615,20605,549660,43910,14925,86590,101515,95995,152775,154190,306965,27480,755270,60825,3120835
2019-20,14,Feb-20,01/02/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,17995,103800,121795,90295,144440,143345,287785,19035,567050,43395,18335,103845,122175,107885,163860,178315,342175,23070,754865,60030,3413490
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,11905,59490,71395,64895,134875,159935,294810,36770,549685,65540,12925,59850,72780,88625,155745,216620,372360,45525,768095,91175,3333000
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,10050,51020,61070,52730,64660,66990,131655,9815,276140,18240,10365,51040,61410,62220,84335,108550,192885,14610,417295,28550,1773630
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,14335,68060,82395,76525,135640,126885,262530,19165,488600,35055,14705,68105,82810,90480,165115,191565,356685,25745,766475,51425,3122300
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,17945,94040,111985,100545,147165,132985,280150,23565,562220,45120,18380,94180,112560,121410,198275,204470,402745,32800,864595,66185,3631320
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,9895,57260,67155,56770,92395,80935,173330,14445,336935,27530,10275,57310,67585,69595,106710,118965,225675,17915,530795,37630,2159105
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,12120,66775,78895,73345,107710,92755,200465,22100,500385,45440,12380,66810,79190,89000,130930,133675,264605,28915,687595,62925,2756015
2019-20,14,Mar-20,01/03/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,14880,86630,101510,82950,127625,122585,250210,19560,524565,44695,15210,86660,101870,101025,144455,154930,299390,23685,700080,61300,3063815
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,4545,17150,21695,49270,59830,90240,150070,13690,342165,27940,5555,17360,22915,70665,69705,132480,202190,17840,516095,45945,1877345
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,3370,18845,22215,37205,30185,35545,65730,4150,176665,8300,3650,18860,22510,45895,41540,62445,103990,5775,271120,12640,990635
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,6950,19155,26105,54695,66255,76765,143020,8475,325720,16020,7295,19190,26485,67785,81570,126670,208240,11690,529475,23935,1845495
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,6380,34325,40705,72930,62670,68645,131315,9425,374580,20655,6600,34335,40930,92145,85265,109845,195110,13470,574950,32270,2006550
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,3025,20000,23025,39745,38810,42435,81240,4885,212070,11125,3220,20020,23245,50890,46955,66495,113450,6315,358735,16090,1181775
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,3485,18190,21675,56270,43475,47560,91035,6295,306245,16365,3635,18200,21835,70285,54640,76235,130870,9345,427545,24360,1447545
2020-21,14,Apr-20,01/04/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,4305,30245,34550,58620,53635,68395,122030,7180,330000,18785,4620,30250,34870,75060,63425,93185,156610,8755,453460,28750,1676730
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,6075,22450,28525,56700,70190,109600,179790,14540,375135,29430,7040,22655,29690,80595,80305,153775,234080,18410,555625,45585,2120195
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,4505,23010,27515,46995,35630,42125,77755,4390,194660,9185,4805,23040,27840,56130,45775,69745,115520,6120,294780,13910,1123435
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,8155,25555,33715,68070,78440,95090,173535,9180,344405,17305,8490,25595,34085,81985,94015,145400,239415,11920,551055,25360,2070770
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,7625,40365,47990,86325,76760,84230,160990,9625,402355,21060,7880,40385,48265,107305,101755,130530,232285,13525,603805,31710,2254770
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,4075,22790,26865,49865,51005,53085,104085,5560,224580,11835,4285,22825,27110,62100,58965,77540,136500,6685,369245,16215,1335215
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,4130,22170,26300,67290,52335,59635,111970,6990,325190,16985,4295,22180,26475,82565,62605,87540,150145,9820,446260,24690,1609570
2020-21,14,May-20,01/05/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,5230,34100,39330,70000,56045,79640,135690,7385,343755,19625,5565,34115,39680,87980,64970,103425,168395,8800,464405,29040,1797175
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,8645,35105,43750,64390,98220,151670,249890,20930,510830,40130,9635,35495,45130,88135,112085,203690,315770,25685,717220,57575,2833980
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,6125,34295,40420,52050,47730,57520,105250,5940,250590,12495,6450,34320,40770,61085,61545,92755,154300,8525,372485,18720,1463370
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,10920,40215,51135,74330,105865,129360,235225,12185,445410,23790,11245,40245,51495,88215,126065,191285,317350,15635,692080,34120,2696170
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,10305,56590,66895,95765,106790,114805,221595,13610,521465,29880,10585,56615,67200,116930,141035,176215,317250,19195,774095,44000,2960820
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,5840,33830,39670,54955,70090,72105,142200,8475,300490,17060,6070,33880,39955,67315,80795,102520,183315,10095,470280,22895,1761835
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,5695,32880,38575,72635,74675,84500,159175,11085,434750,25010,5885,32895,38780,88480,88375,126230,214605,14850,582590,35780,2167450
2020-21,14,Jun-20,01/06/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,7320,49450,56775,76255,80340,102825,183165,10495,445340,27310,7640,49465,57105,94065,91285,132605,223890,12305,592105,39670,2339410
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,11945,49635,61575,70155,108245,171990,280235,24065,573920,49370,13045,50155,63200,95585,124470,229855,354325,29700,805695,70620,3237785
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,8020,43540,51565,56155,53720,64650,118370,7240,264800,14370,8400,43585,51980,65730,71060,107615,178675,10710,401025,22700,1643910
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,14595,54785,69380,81130,115460,146395,261850,13290,491525,28280,15015,54820,69835,95390,141305,212905,354210,17545,763725,41495,3042935
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,13675,73050,86725,105360,121720,129415,251135,16555,559395,35875,13960,73090,87045,127690,166120,200260,366380,23490,845765,53370,3350075
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,7965,44585,52555,60845,77785,86440,164225,10050,331005,20405,8235,44675,52910,73930,90205,121250,211455,12235,522125,27760,2020640
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,7770,46080,53850,78305,83800,88550,172355,13770,471075,31420,8000,46110,54110,94410,102275,130330,232605,18645,637415,44290,2415165
2020-21,14,Jul-20,01/07/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,10265,66065,76335,83135,98160,117280,215440,12845,490010,32920,10640,66085,76725,102095,112090,149105,261195,15300,653010,47370,2696070
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,12905,53445,66350,68605,101950,162135,264085,23985,507505,48630,13895,54165,68060,92785,117450,213765,331215,29650,715390,68625,3014595
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,8470,42160,50630,54745,49640,59875,109515,7250,239575,14290,8830,42200,51030,64050,65830,100355,166185,10875,362410,22465,1530380
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,15150,55420,70570,80450,107360,134400,241760,13115,443270,28375,15520,55455,70970,94245,132535,195725,328260,17495,688965,40970,2830010
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,14920,75290,90205,101815,113030,119600,232630,16020,491245,35000,15155,75345,90505,123715,157940,184745,342685,22685,754645,52610,3109785
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,9100,44565,53665,59520,70660,82325,152980,9510,293420,20955,9300,44635,53940,72170,83285,114740,198025,11850,470510,28555,1883710
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,8930,49060,57985,76240,78805,87260,166065,14270,428245,31545,9170,49080,58250,91985,97900,126130,224030,19185,586385,44770,2305290
2020-21,14,Aug-20,01/08/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,11245,66460,77710,81735,90430,114425,204855,13005,441285,33260,11585,66475,78060,99955,104650,143795,248445,15700,593600,47920,2544595
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,13635,66615,80250,70945,132020,202050,334070,31175,650060,65005,14630,67465,82095,95285,150870,262475,413350,37905,891420,88035,3749355
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,9430,51325,60755,56235,62020,71825,133845,9220,291040,18300,9775,51390,61165,65780,82550,122180,204730,13910,438600,28090,1842165
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17315,69845,87155,82880,135050,158605,293655,16950,545645,37025,17695,69950,87645,96735,164310,227690,392005,22530,821680,52490,3396855
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,16590,90250,106840,106015,139055,143810,282870,21455,597840,45000,16885,90350,107235,127805,191085,222875,413965,29770,905560,65495,3720750
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,10395,55610,66005,61045,91065,99050,190115,13095,362250,27820,10575,55750,66325,73350,106515,137295,243810,16105,566515,37570,2290260
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,E12000002,10495,62280,72775,77270,99835,105130,204965,18995,528935,43285,10785,62350,73130,93335,124415,150325,274745,25010,716325,59005,2813390
2020-21,14,Sep-20,01/09/2020,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,E12000011,12850,82610,95460,84910,116340,138630,254970,17295,543580,43180,13135,82655,95790,103525,134810,172655,307465,20565,721675,59575,3101675
2020-21,14,Oct-20,01/10/2020,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,15415,73865,89285,72145,144560,213685,358245,33430,667515,66070,16490,74760,91250,97135,164005,276880,440885,40725,915695,89965,3942005
2020-21,14,Oct-20,01/10/2020,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,10485,54865,65350,57120,62985,74215,137200,9355,292005,18445,10825,54910,65735,66475,82900,125175,208075,13935,447015,28815,1885885
2020-21,14,Oct-20,01/10/2020,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19515,76410,95925,84180,141485,157035,298520,16900,555300,37365,19800,76505,96305,98075,171710,230570,402280,22490,840875,53060,3494305
2020-21,14,Oct-20,01/10/2020,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,18825,98230,117055,106475,146370,146295,292665,21475,594025,45430,19375,98460,117830,128335,201025,227770,428795,29950,907695,67020,3813100
2020-21,14,Oct-20,01/10/2020,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,11560,62445,74005,61655,93395,101535,194925,12090,369900,29190,11780,62605,74385,74135,110000,143155,253155,15240,582880,39250,2377285
